it,sol,rhsl1,rhsl2,rhslinf,dyl1,dyl2,dylinf,relerr
40,5,3.989781e+01,1.154656e+00,7.953461e-01,7.413435e+03,3.115588e+01,8.425754e-01,3.913501e-08
40,6,3.474058e+01,1.016168e+00,6.986142e-01,6.636645e+03,2.785672e+01,7.559878e-01,3.918340e-08
41,1,1.997655e+09,2.040460e+08,1.495065e+08,5.299153e+09,2.256972e+07,1.282207e+05,1.835300e-08
41,2,1.359522e+05,1.389383e+04,1.017922e+04,4.492703e+05,1.882653e+03,1.047714e+01,1.842670e-08
41,3,1.243852e+05,1.271328e+04,9.314167e+03,4.449379e+05,1.850842e+03,1.013451e+01,1.839645e-08
41,4,3.815608e+01,1.177708e+00,8.159967e-01,1.038078e+04,4.247810e+01,9.624322e-01,2.486849e-08
41,5,3.088110e+01,1.051500e+00,7.348714e-01,1.050754e+04,4.285682e+01,8.795840e-01,2.342904e-08
41,6,2.475330e+01,9.166626e-01,6.365596e-01,9.254761e+03,3.774477e+01,7.379342e-01,4.564194e-08
42,1,2.146862e+09,2.192929e+08,1.607043e+08,5.399990e+09,2.295992e+07,1.299221e+05,2.790666e-08
42,2,1.321851e+05,1.350934e+04,9.899122e+03,4.232813e+05,1.767631e+03,9.736321e+00,2.785200e-08
42,3,1.201326e+05,1.227914e+04,8.997564e+03,4.473777e+05,1.844460e+03,9.866351e+00,2.786934e-08
42,4,3.238313e+01,1.036035e+00,7.256228e-01,1.474424e+04,5.921841e+01,2.023179e+00,4.109302e-08
42,5,2.885327e+01,9.768520e-01,6.851482e-01,1.493844e+04,5.999431e+01,1.946724e+00,4.250946e-08
42,6,2.526957e+01,9.300215e-01,6.477037e-01,1.503172e+04,6.040621e+01,1.848241e+00,3.871542e-08
43,1,2.225963e+09,2.273450e+08,1.666131e+08,5.461696e+09,2.319761e+07,1.309412e+05,3.911789e-08
43,2,1.300071e+05,1.328519e+04,9.735332e+03,4.113172e+05,1.714151e+03,9.405796e+00,3.913503e-08
43,3,1.182101e+05,1.208125e+04,8.852984e+03,4.244904e+05,1.750019e+03,9.358144e+00,3.915107e-08
43,4,2.962242e+01,1.095183e+00,7.607227e-01,1.669494e+04,6.676273e+01,9.676243e-01,3.885885e-08
43,5,2.703675e+01,1.029916e+00,7.166933e-01,1.506817e+04,6.027114e+01,8.871794e-01,3.853933e-08
43,6,2.296805e+01,8.972603e-01,6.206572e-01,1.310108e+04,5.254097e+01,7.572788e-01,4.068435e-08
44,1,2.358475e+09,2.407885e+08,1.764634e+08,5.532242e+09,2.347101e+07,1.321481e+05,2.299672e-08
44,2,1.271489e+05,1.298830e+04,9.517655e+03,3.897839e+05,1.621461e+03,8.865328e+00,2.277234e-08
44,3,1.150804e+05,1.175703e+04,8.615284e+03,3.865599e+05,1.599862e+03,1.900077e+01,2.285471e-08
44,4,2.930226e+01,9.420717e-01,6.607596e-01,9.124919e+03,3.748696e+01,1.101549e+00,3.275980e-08
